,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SB,[K,subnn,0],[SB,[B,subnn,getDot],[SB,[K,mulnn,1],[CB,[B,mulnn,getStripe],[B,I,I]]]]]",egg_num,num,program,0.0,4.0,-24.248857312979325
25,"[SB,[K,subnn,0],[SB,[B,subnn,getDot],[SC,[BB,mulnn,[KB,I,I]],[B,[mulnn,1],getStripe]]]]",egg_num,num,program,0.0,4.0,-24.248857312979325
26,"[SB,[K,subnn,0],[SB,[B,subnn,getDot],[SC,[KB,mulnn,[B,I,I]],getStripe]]]",egg_num,num,program,0.0,5.0,-18.768218389637333
27,"[CS,[BB,subnn,[SB,[K,subnn,0],[SB,[B,subnn,getDot],[SC,[KB,mulnn,[B,I,I]],getStripe]]]],[K,getDot,Egg(S1,O0)]]",egg_num,num,program,0.0,1.0,-28.630883947653203
28,"[SS,[KB,mulnn,[K,[subnn,4],3]],[SB,[K,subnn,0],[SB,[B,subnn,getDot],[SC,[KB,mulnn,[B,I,I]],getStripe]]]]",egg_num,num,program,0.0,1.0,-29.729496236321317
29,"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[B,[mulnn,1],getStripe]]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-17.381924028517442
30,"[SC,[BB,subnn,[SB,[K,mulnn,1],[CB,[B,mulnn,getStripe],[B,I,I]]]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-19.46136557019728
31,"[SC,[BB,subnn,[SC,[KB,mulnn,[B,I,I]],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-13.980726646855288
