,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[BB,[subnn,0],[SB,[B,subnn,getDot],[KS,[B,mulnn,[B,I,I]],[B,[subnn,4],[B,I,I]]]]]",egg_num,num,program,0.0,2.0,-22.169415771299494
25,"[BB,[subnn,0],[SB,[B,subnn,getDot],[SB,[K,addnn,0],[KS,[B,mulnn,[B,[subnn,4],[B,I,I]]],[B,I,I]]]]]",egg_num,num,program,0.0,1.0,-28.343201875201427
26,"[BB,[subnn,0],[SB,[B,subnn,getDot],[SS,[KB,mulnn,[B,I,I]],[BK,getStripe,I]]]]",egg_num,num,program,0.0,2.0,-19.46136557019728
27,"[SS,[BB,subnn,[CB,[B,mulnn,[B,getStripe,I]],[B,[addnn,0],[B,I,I]]]],[BK,[mulnn,1],getDot]]",egg_num,num,program,0.0,1.0,-22.862562951859438
28,"[SS,[BB,subnn,[CS,[BB,mulnn,[BK,[addnn,0],getStripe]],[B,I,I]]],[BK,[mulnn,1],getDot]]",egg_num,num,program,0.0,1.0,-24.248857312979325
29,"[SS,[BB,subnn,[SS,[KB,addnn,[B,I,I]],[BB,[subnn,0],[SB,[B,subnn,getDot],[KS,[B,mulnn,[B,I,I]],[B,[subnn,4],[B,I,I]]]]]]],[BK,[subnn,4],getStripe]]",egg_num,num,program,0.0,1.0,-40.244486980376884
30,"[SS,[BB,subnn,[SS,[KB,addnn,[B,I,I]],[BB,[subnn,0],[SB,[B,subnn,getDot],[SS,[KB,mulnn,[B,I,I]],[BK,getStripe,I]]]]]],[BK,[subnn,4],getStripe]]",egg_num,num,program,0.0,1.0,-37.536436779274666
31,"[SS,[BB,subnn,[SS,[KB,addnn,[B,I,I]],[SS,[BB,subnn,[CB,[B,mulnn,[B,getStripe,I]],[B,[addnn,0],[B,I,I]]]],[BK,[mulnn,1],getDot]]]],[BK,[subnn,4],getStripe]]",egg_num,num,program,0.0,1.0,-40.937634160936824
